Language,Domain,Source,Meaning,Syntax,Form,Comments,Flag for review
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623200",PL,Pronoun,imi-,2Person - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623201",PL,Pronoun,mati-,3Person HUM - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623202",SG,Subject Verb Agreement,au,1Person EXC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623203",SG,Subject Verb Agreement,ai,2Person ,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623204",SG,Subject Verb Agreement,mei,3Person HUM,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623205",SG,Subject Verb Agreement,i,3Person NHUM (non-human referent),--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623202",SG,Subject Verb Agreement,au-,1Person EXC - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623203",SG,Subject Verb Agreement,ai-,2Person  - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623204",SG,Subject Verb Agreement,mei-,3Person HUM - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623205",SG,Subject Verb Agreement,i-,3Person NHUM (non-human referent) - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623206",DUAL (Facultative),Subject Verb Agreement,aruai,1Person EXC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623207",DUAL (Facultative),Subject Verb Agreement,ituat,1Person INC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623208",DUAL (Facultative),Subject Verb Agreement,iruai,2Person,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623209",DUAL (Facultative),Subject Verb Agreement,matuai,3Person HUM,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623206",DUAL (Facultative),Subject Verb Agreement,aruai-,1Person EXC - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623207",DUAL (Facultative),Subject Verb Agreement,ituat-,1Person INC - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623208",DUAL (Facultative),Subject Verb Agreement,iruai-,2Person - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623209",DUAL (Facultative),Subject Verb Agreement,matuai-,3Person HUM - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623210",TRIAL (Facultative),Subject Verb Agreement,aridu,1Person EXC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623211",TRIAL (Facultative),Subject Verb Agreement,itidu,1Person INC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623212",TRIAL (Facultative),Subject Verb Agreement,iridu,2Person,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623213",TRIAL (Facultative),Subject Verb Agreement,matidu,3Person HUM,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623210",TRIAL (Facultative),Subject Verb Agreement,aridu-,1Person EXC - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623211",TRIAL (Facultative),Subject Verb Agreement,itidu-,1Person INC - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623212",TRIAL (Facultative),Subject Verb Agreement,iridu-,2Person - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623213",TRIAL (Facultative),Subject Verb Agreement,matidu-,3Person HUM - subject prefixes,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623214",PL,Subject Verb Agreement,ami,1Person EXC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623215",PL,Subject Verb Agreement,ite,1Person INC,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623216",PL,Subject Verb Agreement,imi,2Person,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623217",PL,Subject Verb Agreement,mati,3Person HUM,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623218",PL,Subject Verb Agreement,iri  ,2Person NHUM,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623219",SG,Pronoun,aku-,1Person EXC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623220",SG,Pronoun,amu-,2Person - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623221",SG,Pronoun,mana-,3Person HUM - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623222",SG,Pronoun,ir-,3Person NHUM - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623223",DUAL (Facultative),Pronoun,aruar-,1Person EXC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623224",DUAL (Facultative),Pronoun,ituar-,1Person INC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623225",DUAL (Facultative),Pronoun,iruar-,2Person - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623226",DUAL (Facultative),Pronoun,matuar-,3Person HUM - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623227",TRIAL (Facultative),Pronoun,aridur-,1Person EXC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623228",TRIAL (Facultative),Pronoun,itidur-,1Person INC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623229",TRIAL (Facultative),Pronoun,iridur-,2Perspm - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623230",TRIAL (Facultative),Pronoun,matuar-,2Person HUM - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623231",PL,Pronoun,amir-,1Person EXC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623232",PL,Pronoun,iter-,1Person INC - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623233",PL,Pronoun,imir-,2Person - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623234",PL,Pronoun,matir-,3Person HUM - Possessive prefix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623235",PL,Pronoun,irir-,3Person NHUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623236",SG,Noun,aku,1Person EXC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623237",SG,Noun,amu,2Person - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623238",SG,Noun,mana,3Person HUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623239",SG,Noun,ir,3Person NHUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623240",DUAL (Facultative),Noun,aruar,1Person EXC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623241",DUAL (Facultative),Noun,ituar,1Person INC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623242",DUAL (Facultative),Noun,iruar,2Person - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623243",DUAL (Facultative),Noun,matuar,3Person HUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623244",TRIAL (Facultative),Noun,aridur,1Person EXC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623245",TRIAL (Facultative),Noun,itidur,1Person INC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623246",TRIAL (Facultative),Noun,iridur,2Perspm - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623247",TRIAL (Facultative),Noun,matuar,2Person HUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623248",PL,Noun,amir,1Person EXC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623249",PL,Noun,iter,1Person INC - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623250",PL,Noun,imir,2Person - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623251",PL,Noun,matir,3Person HUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623252",PL,Noun,irir,3Person NHUM - Suffix,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623253",SG,Pronoun,aku,1Person EXC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623254",SG,Pronoun,amu,2Person - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623255",SG,Pronoun,mana,3Person HUM - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623256",SG,Pronoun,ir,3Person NHUM - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623257",DUAL (Facultative),Pronoun,aruar,1Person EXC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623258",DUAL (Facultative),Pronoun,ituar,1Person INC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623259",DUAL (Facultative),Pronoun,iruar,2Person - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623260",DUAL (Facultative),Pronoun,matuar,3Person HUM - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623261",TRIAL (Facultative),Pronoun,aridur,1Person EXC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623262",TRIAL (Facultative),Pronoun,itidur,1Person INC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623263",TRIAL (Facultative),Pronoun,iridur,2Perspm - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623264",TRIAL (Facultative),Pronoun,matuar,2Person HUM - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623265",PL,Pronoun,amir,1Person EXC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623266",PL,Pronoun,iter,1Person INC - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623267",PL,Pronoun,imir,2Person - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623268",PL,Pronoun,matir,3Person HUM - Suffix - Free pronoun,--
Larike,Number,"Laidig, W. D., & Laidig, C. J. (1990). Larike Pronouns: Duals and Trials in a Central Moluccan Language. Oceanic Linguistics, 29(2), 87. https://doi.org/10.2307/3623269",PL,Pronoun,irir,3Person NHUM - Suffix - Free pronoun,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Subject Verb Agreement,i-,1Person exclusive Note: I double checked word forms from Hill with Bender. I think Bender is the best reference for Marshallese as it is the original source texts refer to.,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Subject Verb Agreement,--,1Person inclusive,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Subject Verb Agreement,kwo-,2Person,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Subject Verb Agreement,e-,3Person,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Subject Verb Agreement,kōm-,1Person exclusive,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Subject Verb Agreement,je-,1Person inclusive,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Subject Verb Agreement,koṃ-,2Person,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Subject Verb Agreement,re-,3Person,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Subject Verb Agreement,-e,3Person Note: suffix - Number agreement with postverbal subjects is a new development in Marshallese,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Subject Verb Agreement,-ka,3Person (animate and inanimate),--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Subject Verb Agreement,k-,2Person,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,ña,1Person exclusive - Absolute pronoun (human referents only),--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,--,1Person inclusive - Absolute pronoun (human referents only),--
Marshallese,Number,"Bender, B. W. (1969). Spoken Marshallese: An intensive language course with grammatical notes and glossary. Honolulu: University of Hawai‘i Press.",SG,Pronoun,kwe,2Person - Absolute pronoun (human referents only),--
Marshallese,Number,"Bender, B. W. (1969). Spoken Marshallese: An intensive language course with grammatical notes and glossary. Honolulu: University of Hawai‘i Press.",SG,Pronoun,e,3Person - Absolute pronoun (human referents only),--
Marshallese,Number,"Bender, B. W. (1969). Spoken Marshallese: An intensive language course with grammatical notes and glossary. Honolulu: University of Hawai‘i Press.",PL,Pronoun,kōm,1Person exclusive - Absolute pronoun (human referents only),--
Marshallese,Number,"Bender, B. W. (1969). Spoken Marshallese: An intensive language course with grammatical notes and glossary. Honolulu: University of Hawai‘i Press.",PL,Pronoun,kōj,1Person inclusive - Absolute pronoun (human referents only),--
Marshallese,Number,"Bender, B. W. (1969). Spoken Marshallese: An intensive language course with grammatical notes and glossary. Honolulu: University of Hawai‘i Press.",PL,Pronoun,koṃ,2Person - Absolute pronoun (human referents only),--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,na,1Person - Objective Pronouns (potentially Accusative),--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,eo,1Person - Absolute/ Emphatic Pronouns,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,kwe,2Person - Objective Pronouns    ,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,eok,2Person - Absolute/ Emphatic Pronouns,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,e,3Person  (human only) - Objective Pronouns    ,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",SG,Pronoun,e,3Person - Absolute/ Emphatic Pronouns,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Pronoun,koj,1Person (inclusive) - Objective Pronouns,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Pronoun,koj,1Person (inclusive) - Absolute/ Emphatic Pronouns,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Pronoun,kom,1Person (exclusive) - Objective Pronouns    ,--
Marshallese,Number,"Willson, H. (2008). Subject positions in Marshallese. [PhD thesis]. University of California. Retrieved from https://linguistics.byu.edu/faculty/hwills1/Subject%20Positions%20in%20Marshallese.pdf",PL,Pronoun,kom,1Person (exclusive) - Absolute/ Emphatic Pronouns,--
